name,reviewrate,reviewdate,reviewtext
American History X,10/10,23 December 2023,A PERFECT MOVIE ABOUT RACISM
American History X,7/10,14 December 2023,Great Norton as Always and Interesting Furlong. Don't Remember Anything Else.
American History X,8/10,13 December 2023,American History
American History X,8/10,30 November 2023,X
American History X,9/10,29 November 2023,It's Magical
American History X,8/10,27 November 2023,Racism
American History X,9/10,23 November 2023,was good.
American History X,10/10,11 November 2023,American history X
American History X,9/10,11 November 2023,A 90 Points
American History X,8/10,4 November 2023,Still a tough watch.
The Usual Suspects,10/10,1 January 2024,The masterclass in storytelling-an intricately woven crime thriller
The Usual Suspects,10/10,19 December 2023,"MOST Definitely... NOT Your ""USUAL"" Movie!"
The Usual Suspects,10/10,18 December 2023,Mind blowing
The Usual Suspects,1/10,17 December 2023,My friends made me watch this against my will!
The Usual Suspects,8/10,15 December 2023,good
The Usual Suspects,10/10,15 December 2023,A Stunning Masterpiece
The Usual Suspects,6/10,14 December 2023,"It's Okay, but I Knew What Was Going To Happen From the Beginning :D"
The Usual Suspects,9/10,10 December 2023,I love it!
The Usual Suspects,8/10,8 December 2023,Alright I guess
The Usual Suspects,10/10,19 November 2023,Probably the most rewatchable plot-twist-movie I've seen!
Reservoir Dogs,10/10,25 December 2023,Psychological trust scenario
Reservoir Dogs,10/10,17 December 2023,"Funny, Bloody, Witty and Smart. Great Writing, Acting and Directing!"
Reservoir Dogs,10/10,9 December 2023,"Dang, Gets Better with Time"
Reservoir Dogs,10/10,3 December 2023,"It ticks every box, one of Tarantino's finest."
Reservoir Dogs,9/10,1 December 2023,I love it!
Reservoir Dogs,9/10,18 November 2023,Most Intimate and Representative Tarantino
Reservoir Dogs,9/10,10 November 2023,"Bang, Bang Bang!!"
Reservoir Dogs,10/10,1 November 2023,"Reservoir Dogs stands as a crime drama masterpiece, possibly one of the greatest ever created"
Reservoir Dogs,6/10,29 October 2023,Colorful but missing a cell or two
Reservoir Dogs,6/10,21 October 2023,"A cool guy, but not a smart one."
No Country for Old Men,1/10,28 December 2023,This is another one of those movies that reminds us...
No Country for Old Men,9/10,27 December 2023,MY MASTERPIECE
No Country for Old Men,8/10,27 December 2023,"Imagine you're cruising through the dusty plains of West Texas, minding your own business, when BAM! You stumble upon a massacre in the desert."
No Country for Old Men,10/10,26 December 2023,Perfection
No Country for Old Men,7/10,19 December 2023,An exceptional antagonist
No Country for Old Men,10/10,9 December 2023,THE COEN BROS. CINEMATIC MASTERPICE
No Country for Old Men,9/10,16 November 2023,This truly was no country for old men
No Country for Old Men,8/10,15 November 2023,This movie was so intense
No Country for Old Men,10/10,13 November 2023,A constant feel of eeriness with a beautiful ending
No Country for Old Men,4/10,4 November 2023,Wierd and bad
Taxi Driver,9/10,2 January 2024,Classic. And Very Good Classic!
Taxi Driver,10/10,31 December 2023,Taxi driver
Taxi Driver,9/10,26 December 2023,"""You talkin to me?"""
Taxi Driver,GilsonIV,9 December 2023,"""Robert De Niro's Riveting Performance Propels 'Taxi Driver' into Cinematic Legend"""
Taxi Driver,10/10,27 November 2023,"Not Only One of Scorsese's Best, But Also One of the Best Movies of All Time"
Taxi Driver,8/10,27 November 2023,Driver
Taxi Driver,9/10,26 November 2023,I love it!
Taxi Driver,azathothpwiggins,21 November 2023,Taking It All In...
Taxi Driver,7/10,19 November 2023,De Niro Is Strong In HIs Portrayal
Taxi Driver,4/10,18 November 2023,As Time Goes By
Bowling for Columbine,10/10,18 October 2023,Michael Moore at his peak
Bowling for Columbine,1/10,15 October 2023,Extremely Tedious Tedious Tedious Tedious
Bowling for Columbine,4/10,4 March 2023,Entertaining but Biased
Bowling for Columbine,9/10,5 September 2022,Succinct in Sixteen
Bowling for Columbine,10/10,26 May 2022,Unfortunately still relevant and excellent - 20 years later
Bowling for Columbine,10/10,29 April 2022,What Has Happened In 20 Years?
Bowling for Columbine,5/10,25 March 2022,It was ok
Bowling for Columbine,8/10,30 January 2022,Fantastic
Bowling for Columbine,10/10,28 December 2021,A great film about the pew pews
Bowling for Columbine,8/10,18 September 2021,"Decent, with one exception"
Fahrenheit 9/11,8/10,20 November 2023,I like it!
Fahrenheit 9/11,10/10,15 December 2022,Mandatory film for everyone.
Fahrenheit 9/11,1/10,21 July 2022,Fahrenheit 9/11 is Just Another Propaganda Film
Fahrenheit 9/11,3/10,22 April 2022,Just Not My Type Of Journalism
Fahrenheit 9/11,9/10,21 September 2021,First Moore Movie I had seen & it was great but.....
Fahrenheit 9/11,6/10,9 September 2021,"""Good for Business, Bad for People"""
Fahrenheit 9/11,9/10,25 August 2021,Recent viewing shows how good this is
Fahrenheit 9/11,7/10,9 July 2021,Greedy capitalist
Fahrenheit 9/11,7/10,6 March 2021,If This is Liberation...
Fahrenheit 9/11,1/10,14 January 2021,Deceptive
Super Size Me,10/10,28 November 2023,Disturbing McDonalds Experiment
Super Size Me,2/10,7 October 2023,A Mockumentary the passes itself off as a documentary that's really a docu-vism that states the obvious but hides some truths
Super Size Me,8/10,23 September 2023,My 16 year old nephew watched!
Super Size Me,3/10,1 August 2023,False advertisement
Super Size Me,10/10,29 June 2023,Cinematic Food For Thought.
Super Size Me,1/10,28 June 2023,Not sure why this film exists
Super Size Me,1/10,17 March 2023,super fraud them
Super Size Me,6/10,17 January 2023,Super Size Me is Kind of Super
Super Size Me,7/10,24 December 2022,super size me
Super Size Me,1/10,20 December 2022,Flawed Premise
Jackass: The Movie,7/10,16 December 2023,Johnny Knoxville and Panda Bears
Jackass: The Movie,7/10,30 October 2023,"An decent, funny, unique and yet disgusting reality film"
Jackass: The Movie,9/10,15 August 2023,"Hello, I'm Johnny Knoxville, welcome to ""Jackass""!"
Jackass: The Movie,9/10,29 May 2023,A Literal Guilty Pleasure.
Jackass: The Movie,5/10,25 February 2023,Toy cars? Sure. Fireworks? Okay. Alligators? Fine. Paper cuts? No thanks.
Jackass: The Movie,7/10,10 November 2022,LOLOLOLOLOL
Jackass: The Movie,7/10,24 September 2022,The first installment that introduced a bunch of great sequels
Jackass: The Movie,4/10,26 August 2022,Mostly Stupid and just plain Boring
Jackass: The Movie,5/10,14 May 2022,Total Jackass
Jackass: The Movie,7/10,12 May 2022,"Classic, basically a 1,5 hour Season 4 of the TV show."
The Social Dilemma,7/10,27 December 2023,Great recommendation for a tech documentary
The Social Dilemma,10/10,10 November 2023,More regulations and more transparency to the (digital) tools that we use!
The Social Dilemma,9/10,19 October 2023,"A very scary movie, regarding the tech companies"
The Social Dilemma,7/10,13 June 2023,Pretty Good Movie
The Social Dilemma,10/10,11 May 2023,Excellent
The Social Dilemma,6/10,20 April 2023,Poses a lot of questions but answers few
The Social Dilemma,7/10,7 April 2023,Exposing the insidious essence of social media
The Social Dilemma,7/10,3 April 2023,Highly recommend it...
The Social Dilemma,10/10,28 February 2023,A must-see wake up call!
The Social Dilemma,9/10,19 February 2023,You will be shock after knowing the other black of the social media
An Inconvenient Truth,10/10,7 October 2023,"Politics aside, surprisingly well presented."
An Inconvenient Truth,7/10,4 September 2023,Still in denial after all these years
An Inconvenient Truth,1/10,27 May 2023,Fearmongering and idealistic
An Inconvenient Truth,10/10,29 March 2023,"""An Inconvenient Truth"" Provides Urgent Wake-Up Call on Climate Change"
An Inconvenient Truth,6/10,12 January 2023,"Fact or propaganda? Either way, this is an interesting watch."
An Inconvenient Truth,1/10,14 October 2022,"Lies in 2006, Still poorly scripted lies"
An Inconvenient Truth,1/10,30 July 2022,"Do as we say, not as we do"
An Inconvenient Truth,9/10,17 June 2022,2006...
An Inconvenient Truth,1/10,17 June 2022,Lies
An Inconvenient Truth,1/10,10 March 2022,An inconvenient truth...sorry
Jackass Number Two,9/10,27 December 2023,Jackass at its finest
Jackass Number Two,8/10,15 December 2023,Steve O and Sharks
Jackass Number Two,9/10,29 May 2023,Just As Stupid But Just As Fun As The Original Movie.
Jackass Number Two,8/10,24 September 2022,My personal favorite Jackass installment
Jackass Number Two,7/10,20 May 2022,Unrated
Jackass Number Two,5/10,14 May 2022,Jackass Continued
Jackass Number Two,8/10,29 April 2022,Bigger and Better
Jackass Number Two,8/10,25 February 2022,Another Wild and Fun One from the Crew
Jackass Number Two,5/10,31 January 2022,A Cock and Bull Story.
Jackass Number Two,8/10,24 December 2021,Even stronger sequel
Inside Job,6/10,21 October 2023,"Hard-hitting and informative, but unfortunately biased"
Inside Job,10/10,14 October 2023,A must see!
Inside Job,8/10,31 August 2023,Inside Job: The Documentary That Exposes The Truth Behind The Financial Crisis
Inside Job,9/10,28 April 2023,Eye opening.
Inside Job,7/10,2 April 2023,"A better accounting than most, but not entirely on target"
Inside Job,9/10,28 January 2023,US taxpayers financing the top 1%
Inside Job,majid-abdi,3 November 2022,"Insightful, mutifaceted and truly scary."
Inside Job,10/10,15 September 2022,Essential viewing of the 2008 Global Financial Crisis
Inside Job,9/10,6 July 2022,So good!
Inside Job,8/10,28 February 2022,The greatest lesson
Sicko,7/10,1 June 2023,"Not bad, but nothing changed"
Sicko,9/10,12 May 2023,I wasn't a Michael Moore fan
Sicko,10/10,6 February 2023,Spending
Sicko,1/10,3 February 2023,I've got a bridge to sell you...
Sicko,10/10,24 October 2022,A Sicko on Sicko
Sicko,9/10,31 December 2021,It's certainly pretty damn sick
Sicko,1/10,14 September 2021,Absolute Propaganda and Intentionally Misleading!
Sicko,10/10,23 July 2021,Another great movie Michael!
Sicko,9/10,31 March 2021,The Medicine the U.S. Healthcare System Needs
Sicko,7/10,12 November 2020,Over a decade later...
Justin Bieber: Never Say Never,10/10,13 August 2023,I love you Justin.
Justin Bieber: Never Say Never,10/10,26 November 2022,JB!
Justin Bieber: Never Say Never,3/10,24 July 2022,I cant believe I saw this in theaters
Justin Bieber: Never Say Never,10/10,24 March 2022,People hate the person more than the movie
Justin Bieber: Never Say Never,10/10,28 August 2021,CONE ICUS-JB'S #1 FAN!
Justin Bieber: Never Say Never,10/10,2 June 2021,Incredible film
Justin Bieber: Never Say Never,7/10,1 May 2021,Are U all serious
Justin Bieber: Never Say Never,brandonthefilmmaker,27 November 2020,Greatest movie of all time
Justin Bieber: Never Say Never,1/10,31 January 2020,Never watch this
Justin Bieber: Never Say Never,1/10,28 July 2018,Terrible
Free Solo,10/10,2 June 2023,Truly one of a kind
Free Solo,9/10,9 May 2023,Life changing experience
Free Solo,7/10,1 May 2023,Good...
Free Solo,10/10,10 April 2023,Must watch
Free Solo,10/10,18 March 2023,Amazing Documentary!!!!
Free Solo,9/10,5 March 2023,Wow
Free Solo,7/10,14 January 2023,The man who literally knows no fear
Free Solo,10/10,19 December 2022,"Thrilling, Exhilarating and Magnificent Documentary I've ever seen"
Free Solo,10/10,29 September 2022,Love it
Free Solo,9/10,3 September 2022,What the actual f.
Senna,10/10,11 August 2023,"Amazing, Inspirational, Educational"
Senna,10/10,24 April 2023,Only halfway thru and it's 10 stars
Senna,adamjohns-42575,10 March 2023,Obviously not made for me.
Senna,8/10,25 December 2022,Senna
Senna,nico-cba-16952,17 September 2022,One of the best... not the best though
Senna,10/10,24 July 2022,"Goodbye, good old times"
Senna,7/10,27 June 2022,A fine effort
Senna,10/10,17 June 2022,Moving
Senna,10/10,19 May 2022,💫
Senna,5/10,2 April 2022,"Well made, but undoubtedly biased"
Searching for Sugar Man,9/10,1 November 2023,Raw emotions for a great journey
Searching for Sugar Man,9/10,18 October 2023,The spirit of the music
Searching for Sugar Man,8/10,23 August 2023,A documentary like no one else's but still not in the top tier of the greatest titles out there
Searching for Sugar Man,10/10,26 July 2023,A most amazing story
Searching for Sugar Man,9/10,12 March 2023,Agreed: This is a 'Must See'
Searching for Sugar Man,10/10,13 January 2023,Wow-he could have been one of the greatest ever!
Searching for Sugar Man,8/10,29 September 2022,Charming and unbelievable
Searching for Sugar Man,10/10,12 July 2022,Fascinating
Searching for Sugar Man,10/10,15 June 2022,Fantastic story!
Searching for Sugar Man,9/10,2 May 2022,Joyful
The Tinder Swindler,10/10,8 November 2023,An Amazing Documentary film
The Tinder Swindler,8/10,15 June 2023,"Unbelievable story, gripping and expertly crafted."
The Tinder Swindler,8/10,19 April 2023,for the sake of our security
The Tinder Swindler,8/10,10 April 2023,Hypocrisy
The Tinder Swindler,7/10,22 February 2023,no brain
The Tinder Swindler,1/10,14 December 2022,Pathetic
The Tinder Swindler,2/10,23 October 2022,confused
The Tinder Swindler,9/10,17 October 2022,A very well made documentary!
The Tinder Swindler,9/10,26 September 2022,Well put together and interesting.
The Tinder Swindler,9/10,13 September 2022,Women swindled
Blackfish,10/10,5 December 2023,Blackfish Review
Blackfish,8/10,21 November 2023,A documentary I've never experienced before
Blackfish,8/10,28 August 2023,After view
Blackfish,10/10,25 August 2023,Please watch this video
Blackfish,8/10,25 August 2023,Good movie
Blackfish,7/10,13 July 2023,Tragic
Blackfish,9/10,21 April 2023,The Cruelty Behind Aquatic Captivity
Blackfish,8/10,20 April 2023,Humans are the true monsters
Blackfish,7/10,31 March 2023,[6.8] May nature and evolution prevail
Blackfish,8/10,28 November 2022,I'll Admit it...
Exit Through the Gift Shop,7/10,2 January 2024,Banksy pulls the strings...
Exit Through the Gift Shop,9/10,25 October 2023,Amazing story about Mr. Braindead
Exit Through the Gift Shop,7/10,6 January 2022,Highly entertaining documentary
Exit Through the Gift Shop,7/10,6 December 2021,yeh
Exit Through the Gift Shop,2/10,4 November 2021,An Accidental Psychoanalysis Of A Man Who Needs Medical Help!
Exit Through the Gift Shop,9/10,18 October 2021,The legend of Banksy
Exit Through the Gift Shop,9/10,8 September 2021,This Film Proved My Theory About Modern Art
Exit Through the Gift Shop,7/10,30 March 2021,Humans Amaze Me
Exit Through the Gift Shop,10/10,25 March 2021,Perhaps the most fascinating documentary I've ever seen
Exit Through the Gift Shop,8/10,13 March 2021,Wonderful Story About How to Just Go and Do It
Jackass 3D,8/10,24 September 2022,One of the best Jackass installments
Jackass 3D,10/10,26 July 2022,The best Jackass film
Jackass 3D,2/10,4 June 2022,"Kardashian, he cried"
Jackass 3D,8/10,26 May 2022,(Unrated)
Jackass 3D,5/10,16 May 2022,Another one
Jackass 3D,6/10,29 April 2022,Losing Steam
Jackass 3D,10/10,27 April 2022,Movie to watch with your friends
Jackass 3D,8/10,28 February 2022,More Wildness From this Crew
Jackass 3D,7/10,9 February 2022,A big hand for this one.
Jackass 3D,5/10,15 January 2022,"Sad, very sad..."
My Octopus Teacher,7/10,10 December 2023,"Very interesting, but..."
My Octopus Teacher,2/10,25 November 2023,Boring and morally questionable
My Octopus Teacher,7/10,6 November 2023,"Solid, charming documentary"
My Octopus Teacher,10/10,9 October 2023,One of the most heart-touching films ever!
My Octopus Teacher,8/10,26 September 2023,Exploitation and/or true friendship?
My Octopus Teacher,10/10,9 September 2023,Just watch it
My Octopus Teacher,7/10,29 August 2023,Didn't know what to expect
My Octopus Teacher,10/10,25 August 2023,Surprising Emotional Realization of Existence
My Octopus Teacher,10/10,15 August 2023,One of the best Documentary we've ever scene
My Octopus Teacher,7/10,28 July 2023,Beautiful photography but awkward narration
Grizzly Man,7/10,3 November 2023,"[7.5] Amie Huguenard and the cute foxes, the ones that truly understood and cared for him"
Grizzly Man,7/10,18 October 2023,One word to best describe the character in this documentary is delusional
Grizzly Man,10/10,8 September 2023,What was he thinking?
Grizzly Man,8/10,17 August 2023,The Peaceful Warrior
Grizzly Man,6/10,12 July 2023,Biopic Of a Madman
Grizzly Man,2/10,4 July 2023,An Exploitive Documentary it seems
Grizzly Man,9/10,2 March 2023,A Unique Look at a Rather Tragic and Grizzly Tale
Grizzly Man,6/10,6 February 2023,"Great cinematography, pointless story"
Grizzly Man,9/10,26 January 2023,"""He's here forever"""
Grizzly Man,10/10,25 August 2022,Man and Nature: A portrait by Werner Herzog
Religulous,9/10,21 November 2023,I love it!
Religulous,7/10,14 November 2023,A Great Documentary
Religulous,1/10,8 November 2023,This is the worst exploring of christianity
Religulous,1/10,11 September 2023,A poor documentary full of misinformation
Religulous,9/10,31 March 2023,Humorous Discussion Of Various World Religions
Religulous,10/10,18 March 2023,Bill Does Comedy.
Religulous,1/10,17 January 2023,CYNICISM AT IT'S BEST.
Religulous,8/10,3 October 2022,Intellectual and honest.
Religulous,5/10,18 September 2022,Important Subject Treated Poorly
Religulous,10/10,18 July 2022,You CAN NOT reason with FOOLS!
The Shawshank Redemption,10/10,3 January 2024,Best movie so far
The Shawshank Redemption,5/10,3 January 2024,Reviewbds24h
The Shawshank Redemption,8/10,3 January 2024,What a beautiful Film
The Shawshank Redemption,10/10,2 January 2024,CLASSIC FAVORITE
The Shawshank Redemption,10/10,2 January 2024,It Felt Good and I Enjoyed It
The Shawshank Redemption,6/10,1 January 2024,good
The Shawshank Redemption,10/10,31 December 2023,"The Shawshank Redemption,"" highlighting its brilliance, performances, and impact."
The Shawshank Redemption,10/10,30 December 2023,A Timeless Masterpiece that Will Leave You Speechless
The Shawshank Redemption,10/10,30 December 2023,"""The Shawshank Redemption"" is one of the best movies in the world. This movie was directed by Frank Darabont in 1994 and is based on a story by Stephen King called ""Rita Haywo"
The Shawshank Redemption,10/10,30 December 2023,Good
Fight Club,5/10,2 January 2024,You might watch it twice...
Fight Club,9/10,1 January 2024,"The raw and provocative exploration of societal disillusionment, masculinity, and the pursuit of identity"
Fight Club,1/10,30 December 2023,Incredibly lame movie
Fight Club,9/10,30 December 2023,"Fight Club: A Cinematic Wake-Up Call with Mind-Blowing Twists and Rebel Vibes, Earning a Solid 9/10 for Unfiltered Chaos."
Fight Club,10/10,29 December 2023,My first review about my favorite movie...
Fight Club,8/10,29 December 2023,Fight Club: A Daring Cinematic Masterpiece of Modern Psyche
Fight Club,9/10,28 December 2023,I love it!
Fight Club,10/10,27 December 2023,Fight Club: A Mind-Bending Masterpiece Redefining Rebellion and Identity
Fight Club,1/10,26 December 2023,slumber club
Fight Club,10/10,23 December 2023,crazy
Forrest Gump,9/10,31 December 2023,Movie of a lifetime
Forrest Gump,10/10,29 December 2023,Forrest Gump Review
Forrest Gump,9/10,29 December 2023,"Forrest Gump: A Nostalgic 9/10 Journey Through Life's Rollercoaster, Perfectly Resonating with the Younger Perspective."
Forrest Gump,9/10,26 December 2023,Box of chocolate!
Forrest Gump,9/10,24 December 2023,The citizen kane of Romance movies...
Forrest Gump,10/10,18 December 2023,Lets see why Forrest Gump is so good.
Forrest Gump,10/10,12 December 2023,classic movie
Forrest Gump,10/10,12 December 2023,So Nostalgic!!
Forrest Gump,9/10,11 December 2023,Lovable. Adorable. Inspiring. Wonderful!
Forrest Gump,6/10,11 December 2023,Don't Eat Too Many Chocolate or You'll Get a Tummy Ache
Django Unchained,9/10,30 December 2023,Wonderful Tarantino western
Django Unchained,5/10,23 December 2023,Style but not so much substance
Django Unchained,6/10,18 December 2023,Tarantino's Unapologetic Masterpiece
Django Unchained,9/10,14 December 2023,Quentin Tarantino Never Disappoints
Django Unchained,10/10,12 December 2023,An amazing movie
Django Unchained,10/10,3 December 2023,Incredibly violent awesome western ride
Django Unchained,6/10,1 December 2023,Entertaining but overlong
Django Unchained,10/10,25 November 2023,Django Unchained review
Django Unchained,10/10,16 November 2023,A Really good modern western
Django Unchained,10/10,6 November 2023,"""Reclaiming Freedom: A Cinematic Journey through 'Django Unchained'"""
Saving Private Ryan,9/10,31 December 2023,FUBAR
Saving Private Ryan,8/10,27 December 2023,Heroism
Saving Private Ryan,7/10,26 December 2023,"A visceral, brutal film"
Saving Private Ryan,9/10,26 December 2023,Speilberg's greatest film?
Saving Private Ryan,9/10,21 December 2023,For the ages
Saving Private Ryan,10/10,20 December 2023,Beatiful movie!
Saving Private Ryan,10/10,14 December 2023,GERMAN PILLBOX - NOT INFALLIBLE
Saving Private Ryan,8/10,12 December 2023,What a War Action Movie Should Look Like!
Saving Private Ryan,10/10,12 December 2023,"Mind blowing, exceptional and attentiveness"
Saving Private Ryan,8/10,7 December 2023,The battle scenes are great
Harry Potter and the Deathly Hallows: Part 2,8/10,2 January 2024,A Great Conclusion!
Harry Potter and the Deathly Hallows: Part 2,10/10,1 January 2024,A Grand Finale to an Enchanting Journey
Harry Potter and the Deathly Hallows: Part 2,1/10,28 December 2023,Harry never grows up
Harry Potter and the Deathly Hallows: Part 2,9/10,16 December 2023,A befitting conclusion!
Harry Potter and the Deathly Hallows: Part 2,9/10,25 November 2023,Spellbinding Finale with a Side of Tears and Cheers
Harry Potter and the Deathly Hallows: Part 2,1/10,13 November 2023,A Disastrous Adaptation that Distorts the Essence of the Saga
Harry Potter and the Deathly Hallows: Part 2,9/10,26 October 2023,"Grandiose finale to a purely ""magical"" franchise!"
Harry Potter and the Deathly Hallows: Part 2,10/10,21 October 2023,Loving Harry Potter
Harry Potter and the Deathly Hallows: Part 2,10/10,9 October 2023,A captivating masterpeice.
Harry Potter and the Deathly Hallows: Part 2,8/10,7 October 2023,Ending scene
Harry Potter and the Sorcerer's Stone,9/10,3 January 2024,The Philopher's Stone
Harry Potter and the Sorcerer's Stone,9/10,1 January 2024,Imaginative tale of a boy who discovers he has magical powers
Harry Potter and the Sorcerer's Stone,8/10,29 December 2023,Great beginning
Harry Potter and the Sorcerer's Stone,7/10,29 December 2023,A Magical beginning!
Harry Potter and the Sorcerer's Stone,9/10,27 December 2023,Bad Snape and Dumblebore
Harry Potter and the Sorcerer's Stone,8/10,25 December 2023,Solid Adaption to Kick Off a Phenomena
Harry Potter and the Sorcerer's Stone,10/10,24 December 2023,A Timeless Return to Magic
Harry Potter and the Sorcerer's Stone,5/10,20 December 2023,Fascinating
Harry Potter and the Sorcerer's Stone,10/10,17 December 2023,Recommendation Harry Potter and the Philosopher´s Stone
Harry Potter and the Sorcerer's Stone,7/10,13 December 2023,Not the same anymore!
Harry Potter and the Chamber of Secrets,10/10,3 January 2024,Besttttttt
Harry Potter and the Chamber of Secrets,8/10,29 December 2023,A Continuation on a High Level.
Harry Potter and the Chamber of Secrets,10/10,25 December 2023,A Spellbinding Return to Hogwarts
Harry Potter and the Chamber of Secrets,10/10,22 December 2023,"Excellent, just as good as the book"
Harry Potter and the Chamber of Secrets,6/10,15 December 2023,Similar to sorcerer stone but slightly darker
Harry Potter and the Chamber of Secrets,7/10,29 November 2023,Harry Potter and the chamber of secrets
Harry Potter and the Chamber of Secrets,8/10,23 November 2023,"A Magical, Snake-Infested Roller Coaster!"
Harry Potter and the Chamber of Secrets,8/10,25 October 2023,Picks Up Where It Left Off
Harry Potter and the Chamber of Secrets,8/10,20 October 2023,Maybe third time is the charm
Harry Potter and the Chamber of Secrets,8/10,26 September 2023,An Enchanting Journey into the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban,9/10,29 December 2023,It's getting Better every Time!
Harry Potter and the Prisoner of Azkaban,10/10,27 December 2023,Unveiling Secrets and Shifting Allegiances
Harry Potter and the Prisoner of Azkaban,7/10,24 December 2023,Nearly perfect.
Harry Potter and the Prisoner of Azkaban,7/10,18 December 2023,Harry Potter and the Prisoner of Azkaban
Harry Potter and the Prisoner of Azkaban,10/10,3 December 2023,Harry grows up and things change
Harry Potter and the Prisoner of Azkaban,9/10,24 November 2023,Hogwarts Gets Moody
Harry Potter and the Prisoner of Azkaban,8/10,1 November 2023,The Kids have grown and the plot grows with them
Harry Potter and the Prisoner of Azkaban,8/10,8 October 2023,Harry Potter and the Prisoner of Azkaban: A Timeless Journey into Magic and Friendship
Harry Potter and the Prisoner of Azkaban,10/10,2 October 2023,Amazing
Harry Potter and the Prisoner of Azkaban,8/10,14 September 2023,Great but not a masterpiece.
Harry Potter and the Goblet of Fire,10/10,29 December 2023,My Personal Favourite...
Harry Potter and the Goblet of Fire,8/10,29 December 2023,Where grown-ups are separated from kids
Harry Potter and the Goblet of Fire,10/10,28 December 2023,"Dynamic Duels, Internal Strife, and Mystical Marvels"
Harry Potter and the Goblet of Fire,8/10,24 December 2023,Superbly dark with some great laughs too.
Harry Potter and the Goblet of Fire,10/10,3 December 2023,You will have to choose between what is easy and what is right
Harry Potter and the Goblet of Fire,10/10,30 November 2023,I saw them all
Harry Potter and the Goblet of Fire,8/10,24 November 2023,High School Drama Meets Dragon Drama
Harry Potter and the Goblet of Fire,brahtz,20 November 2023,Actually a good movie
Harry Potter and the Goblet of Fire,9/10,20 November 2023,Not That Bad a Step-Down
Harry Potter and the Goblet of Fire,8/10,19 November 2023,Not the book! Still amazing
Thor,5/10,31 December 2023,'Credible' means 'Stupid'
Thor,7/10,22 December 2023,A nice welcome pack to Marvel's cinematic universe
Thor,6/10,8 December 2023,The worst of all Thor movies by far
Thor,7/10,24 November 2023,"The best MCU movie so far, and first 3D effort"
Thor,8/10,21 November 2023,pear beard of Odin
Thor,8/10,27 September 2023,Lovely
Thor,7/10,2 September 2023,"It's good, not great"
Thor,7/10,3 August 2023,"Perfectly fun and innocent, but ultimately mindless entertainment"
Thor,8/10,21 July 2023,Thor
Thor,8/10,13 June 2023,An Epic Adventure Filled with Action and Humor
The Hobbit: An Unexpected Journey,5/10,21 December 2023,From children's fantasy novel to movie trilogy?
The Hobbit: An Unexpected Journey,7/10,9 December 2023,Visually spectacular!
The Hobbit: An Unexpected Journey,8/10,4 December 2023,Solid and Adequate Return to Middle Earth
The Hobbit: An Unexpected Journey,6/10,3 December 2023,"Filler, filler and more filler"
The Hobbit: An Unexpected Journey,7/10,12 November 2023,"Started off slow and disappointing, but as it went on it got much better!"
The Hobbit: An Unexpected Journey,9/10,11 November 2023,The beginning of the old journey
The Hobbit: An Unexpected Journey,9/10,10 November 2023,"""For evil will always try to find a foothold in this world. . ."""
The Hobbit: An Unexpected Journey,4/10,9 November 2023,There is such thing as too much CGI
The Hobbit: An Unexpected Journey,7/10,27 October 2023,"Not as Good as the ""Golden Trilogy"" but Still Strong"
The Hobbit: An Unexpected Journey,6/10,11 October 2023,Could have done without the songs!
Spider-Man: No Way Home,5/10,3 January 2024,Contrived fan-service
Spider-Man: No Way Home,4/10,1 January 2024,This one was too wild for me and lived only on nostalgia
Spider-Man: No Way Home,8/10,30 December 2023,The big three are back to tackle it all.
Spider-Man: No Way Home,3/10,30 December 2023,Milking the franchise to the last drops
Spider-Man: No Way Home,10/10,29 December 2023,Fantastic All Around
Spider-Man: No Way Home,8/10,27 December 2023,Loved it!
Spider-Man: No Way Home,3/10,22 December 2023,Stupor-Powers of Epic Proportions
Spider-Man: No Way Home,8/10,22 December 2023,"Spider-Man, Spider-Man, Now There Are Three Spider-Men"
Spider-Man: No Way Home,9/10,22 December 2023,I love it!
Spider-Man: No Way Home,5/10,28 November 2023,Wildly overrated gimmicky sequel
Star Wars: Episode I - The Phantom Menace,8/10,30 December 2023,"Not great as the first episodes, but really good"
Star Wars: Episode I - The Phantom Menace,6/10,26 December 2023,Kinda boring but has good scenes
Star Wars: Episode I - The Phantom Menace,4/10,16 December 2023,Horrible
Star Wars: Episode I - The Phantom Menace,10/10,13 December 2023,A near complete masterpiece
Star Wars: Episode I - The Phantom Menace,8/10,4 December 2023,"The Phantom Menace is flawed but great and is for all ages, containing Duel of the Fates which is Star Wars at its best - My Ultimate Review"
Star Wars: Episode I - The Phantom Menace,10/10,2 December 2023,The first Star Wars movie i've watched - I'm hooked
Star Wars: Episode I - The Phantom Menace,10/10,30 November 2023,How do you win over a whole new generation
Star Wars: Episode I - The Phantom Menace,8/10,27 November 2023,It is for kids.
Star Wars: Episode I - The Phantom Menace,8/10,20 November 2023,The beginning of the dark path
Star Wars: Episode I - The Phantom Menace,5/10,20 November 2023,THISA MOVIE BOMBAD
Star Wars: Episode III - Revenge of the Sith,10/10,30 December 2023,7.6?! ARE YOU SERIOUSLY?!
Star Wars: Episode III - Revenge of the Sith,10/10,30 December 2023,Epic
Star Wars: Episode III - Revenge of the Sith,10/10,21 November 2023,THE DARK SIDE OF THE FORCE IS A PATHWAY TO MANY ABILITIES SOME CONSIDER TO BE UNNATURAL.
